PropertyAuctionId,BranchId,DistrictId,CityId,SectorId,AssetId,FlatCost,ReceivedAmount,BalanceAmount,PurchaserID,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
373353,3194,280,3200,699,155422,100000,20000,80000,172886,1,0,,1,,,544
365967,3194,280,3200,684,148036,100000,20000,80000,165500,1,0,,1,,,544
369679,3205,291,3252,681,151748,100000,30000,70000,169212,1,0,,1,,,544
371919,3212,298,3276,692,153988,100000,30000,70000,171452,1,0,,1,,,544
367590,3194,280,3200,688,149659,100000,20000,80000,167123,1,0,,1,,,544
367941,3202,288,3238,699,150010,100000,20000,80000,167474,1,0,,1,,,544
366001,3202,288,3238,707,148070,100000,20000,80000,165534,1,0,,1,,,544
367490,3205,291,3252,681,149559,100000,20000,80000,167023,1,0,,1,,,544
367641,3207,293,3259,683,149710,100000,20000,80000,167174,1,0,,1,,,544
366971,3194,280,3200,685,149040,100000,20000,80000,166504,1,0,,1,,,544
370496,3205,291,3252,681,152565,100000,20000,80000,170029,1,0,,1,,,544
370749,3212,298,3276,683,152818,100000,20000,80000,170282,1,0,,1,,,544
375963,3205,291,3252,685,158032,100000,20000,80000,175496,1,0,,1,,,544
380322,3205,291,3252,696,162391,100000,20000,80000,179855,1,0,,1,,,544
376446,3202,288,3238,686,158515,100000,20000,80000,175979,1,0,,1,,,544
375361,3208,294,3264,692,157430,100000,20000,80000,174894,1,0,,1,,,544
372919,3208,294,3264,697,154988,100000,20000,80000,172452,1,0,,1,,,544
369396,3194,280,3200,697,151465,100000,20000,80000,168929,1,0,,1,,,544
370915,3212,298,3276,921,152984,100000,20000,80000,170448,1,0,,1,,,544
373587,3208,294,3264,681,155656,100000,20000,80000,173120,1,0,,1,,,544
378367,3208,294,3264,687,160436,100000,20000,80000,177900,1,0,,1,,,544
370396,3199,285,3221,690,152465,100000,20000,80000,169929,1,0,,1,,,544
378688,3208,294,3264,684,160757,100000,20000,80000,178221,1,0,,1,,,544
369445,3208,294,3264,683,151514,100000,20000,80000,168978,1,0,,1,,,544
379154,3202,288,3238,681,161223,100000,20000,80000,178687,1,0,,1,,,544
371481,3208,294,3264,708,153550,100000,20000,80000,171014,1,0,,1,,,544
369509,3194,280,3200,683,151578,100000,20000,80000,169042,1,0,,1,,,544
379422,3206,292,3257,684,161491,100000,20000,80000,178955,1,0,,1,,,544
374623,3194,280,3200,688,156692,100000,20000,80000,174156,1,0,,1,,,544
376482,3206,292,3257,685,158551,100000,20000,80000,176015,1,0,,1,,,544
366624,3194,280,3200,685,148693,100000,20000,80000,166157,1,0,,1,,,544
369441,3205,291,3252,681,151510,100000,10000,90000,168974,1,0,,1,,,544
377552,3212,298,3276,708,159621,100000,20000,80000,177085,1,0,,1,,,544
369398,3205,291,3252,692,151467,100000,20000,80000,168931,1,0,,1,,,544
372249,3194,280,3200,1049,154318,100000,20000,80000,171782,1,0,,1,,,544
370843,3194,280,3200,694,152912,100000,10000,90000,170376,1,0,,1,,,544
