AssociationId,BranchId,CityId,SectorId,Is_Active,Is_Deleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
8356,3192,3192,681,1,0,9/13/2024,,,,544
8357,3192,3192,682,1,0,9/13/2024,,,,544
8358,3192,3192,683,1,0,9/13/2024,,,,544
8359,3192,3192,684,1,0,9/13/2024,,,,544
8360,3192,3192,685,1,0,9/13/2024,,,,544
8361,3192,3192,686,1,0,9/13/2024,,,,544
8362,3192,3192,687,1,0,9/13/2024,,,,544
8363,3192,3192,688,1,0,9/13/2024,,,,544
8364,3192,3192,689,1,0,9/13/2024,,,,544
8365,3192,3192,690,1,0,9/13/2024,,,,544
8366,3192,3192,691,1,0,9/13/2024,,,,544
8367,3192,3192,692,1,0,9/13/2024,,,,544
8368,3192,3192,693,1,0,9/13/2024,,,,544
8369,3192,3192,694,1,0,9/13/2024,,,,544
8370,3192,3192,695,1,0,9/13/2024,,,,544
8371,3192,3192,696,1,0,9/13/2024,,,,544
8372,3192,3192,697,1,0,9/13/2024,,,,544
8373,3192,3192,698,1,0,9/13/2024,,,,544
8374,3192,3192,699,1,0,9/13/2024,,,,544
8375,3192,3192,700,1,0,9/13/2024,,,,544
8376,3192,3192,701,1,0,9/13/2024,,,,544
8377,3192,3192,702,1,0,9/13/2024,,,,544
8378,3192,3192,703,1,0,9/13/2024,,,,544
8379,3192,3192,704,1,0,9/13/2024,,,,544
8380,3192,3192,705,1,0,9/13/2024,,,,544
8381,3192,3192,706,1,0,9/13/2024,,,,544
8382,3192,3192,707,1,0,9/13/2024,,,,544
8383,3192,3192,708,1,0,9/13/2024,,,,544
8384,3192,3192,709,1,0,9/13/2024,,,,544
8385,3192,3192,710,1,0,9/13/2024,,,,544
8386,3192,3192,721,1,0,9/13/2024,,,,544
8387,3192,3192,729,1,0,9/13/2024,,,,544
8388,3192,3192,738,1,0,9/13/2024,,,,544
8389,3192,3192,747,1,0,9/13/2024,,,,544
8390,3192,3192,751,1,0,9/13/2024,,,,544
8391,3192,3192,756,1,0,9/13/2024,,,,544
8392,3192,3192,767,1,0,9/13/2024,,,,544
8393,3192,3192,772,1,0,9/13/2024,,,,544
8394,3192,3192,781,1,0,9/13/2024,,,,544
8395,3192,3192,783,1,0,9/13/2024,,,,544
8396,3192,3192,797,1,0,9/13/2024,,,,544
8397,3192,3192,806,1,0,9/13/2024,,,,544
8398,3192,3192,839,1,0,9/13/2024,,,,544
8399,3192,3192,852,1,0,9/13/2024,,,,544
8400,3192,3192,868,1,0,9/13/2024,,,,544
8401,3192,3192,875,1,0,9/13/2024,,,,544
8402,3192,3192,949,1,0,9/13/2024,,,,544
8403,3192,3192,960,1,0,9/13/2024,,,,544
8404,3192,3192,961,1,0,9/13/2024,,,,544
8405,3192,3192,968,1,0,9/13/2024,,,,544
8406,3192,3192,1032,1,0,9/13/2024,,,,544
8407,3192,3192,1034,1,0,9/13/2024,,,,544
8408,3192,3192,1038,1,0,9/13/2024,,,,544
8409,3192,3192,1039,1,0,9/13/2024,,,,544
8410,3192,3192,1042,1,0,9/13/2024,,,,544
8411,3192,3192,1048,1,0,9/13/2024,,,,544
8412,3192,3192,1057,1,0,9/13/2024,,,,544
8413,3192,3192,1061,1,0,9/13/2024,,,,544
8414,3192,3193,681,1,0,9/13/2024,,,,544
8415,3192,3193,682,1,0,9/13/2024,,,,544
8416,3192,3193,683,1,0,9/13/2024,,,,544
8417,3192,3193,684,1,0,9/13/2024,,,,544
8418,3192,3193,685,1,0,9/13/2024,,,,544
8419,3192,3193,686,1,0,9/13/2024,,,,544
8420,3192,3193,687,1,0,9/13/2024,,,,544
8421,3192,3193,688,1,0,9/13/2024,,,,544
8422,3192,3193,689,1,0,9/13/2024,,,,544
8423,3192,3193,690,1,0,9/13/2024,,,,544
8424,3192,3193,691,1,0,9/13/2024,,,,544
8425,3192,3193,692,1,0,9/13/2024,,,,544
8426,3192,3193,693,1,0,9/13/2024,,,,544
8427,3192,3193,694,1,0,9/13/2024,,,,544
8428,3192,3193,695,1,0,9/13/2024,,,,544
8429,3192,3193,696,1,0,9/13/2024,,,,544
