id,asset_number,total_paid_amount,receipt_number,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,created_date,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
666194,148496,2222,2.20023E+12,3213,299,3279,696,1,0,20-10-2024,,,,544
666197,149181,2222,4.40023E+12,3206,292,3257,682,1,0,20-10-2024,,,,544
666221,153694,2222,4.40023E+12,3208,294,3264,693,1,0,20-10-2024,,,,544
666246,156955,2222,4.40023E+12,3205,291,3252,682,1,0,20-10-2024,,,,544
666828,152058,2222,4.40023E+12,3208,294,3264,689,1,0,20-10-2024,,,,544
666864,150400,2222,4.40023E+12,3205,291,3252,682,1,0,20-10-2024,,,,544
666865,160395,2222,2.20023E+12,3199,285,3221,682,1,0,20-10-2024,,,,544
666874,149167,2222,2.20023E+12,3192,278,3193,704,1,0,20-10-2024,,,,544
665142,147701,2222,2.20023E+12,3212,298,3276,699,1,0,18-10-2024,,,,544
665161,151598,2222,4.40023E+12,3205,291,3252,698,1,0,18-10-2024,,,,544
665198,155959,4444,4.40023E+12,3202,288,3238,688,1,0,18-10-2024,,,,544
665330,162509,2222,4.40023E+12,3206,292,3257,692,1,0,18-10-2024,,,,544
665345,147686,2222,4.40023E+12,3208,294,3264,687,1,0,18-10-2024,,,,544
665349,148620,2222,4.40023E+12,3200,286,3230,681,1,0,18-10-2024,,,,544
665395,149239,2222,4.40023E+12,3200,286,3230,682,1,0,19-10-2024,,,,544
665412,157663,2222,4.40023E+12,3194,280,3200,690,1,0,19-10-2024,,,,544
665415,153217,2222,2.20023E+12,3194,280,3200,684,1,0,19-10-2024,,,,544
665449,156810,2222,2.20023E+12,3212,298,3276,702,1,0,19-10-2024,,,,544
665459,152868,2222,2.20023E+12,3194,280,3200,688,1,0,19-10-2024,,,,544
665468,159820,2222,4.40023E+12,3205,291,3252,683,1,0,19-10-2024,,,,544
665487,160035,2222,4.40023E+12,3202,288,3238,700,1,0,19-10-2024,,,,544
665513,160137,2222,2.20023E+12,3207,293,3259,687,1,0,19-10-2024,,,,544
665518,161726,2222,4.40023E+12,3194,280,3200,693,1,0,19-10-2024,,,,544
665551,156946,2222,2.20023E+12,3205,291,3252,685,1,0,19-10-2024,,,,544
665683,154857,2222,4.40023E+12,3208,294,3264,686,1,0,19-10-2024,,,,544
665846,152096,2222,4.40023E+12,3212,298,3276,706,1,0,19-10-2024,,,,544
665867,149205,2222,2.20023E+12,3194,280,3200,695,1,0,19-10-2024,,,,544
666095,152515,2222,4.40023E+12,3208,294,3264,691,1,0,19-10-2024,,,,544
666129,148839,2222,4.40023E+12,3212,298,3276,685,1,0,19-10-2024,,,,544
666133,147988,2222,4.40023E+12,3208,294,3264,704,1,0,19-10-2024,,,,544
666162,157261,5000,4.40023E+12,3212,298,3276,706,1,0,19-10-2024,,,,544
666188,159116,2222,2.20023E+12,3194,280,3200,699,1,0,20-10-2024,,,,544
666202,159520,2222,2.20023E+12,3205,291,3252,690,1,0,20-10-2024,,,,544
666207,160754,2222,4.40023E+12,3194,280,3200,682,1,0,20-10-2024,,,,544
666212,148688,10000,2.20023E+12,3205,291,3252,690,1,0,20-10-2024,,,,544
666236,148288,2222,4.40023E+12,3208,294,3264,683,1,0,20-10-2024,,,,544
666241,152330,2222,2.20023E+12,3205,291,3252,684,1,0,20-10-2024,,,,544
666244,152113,2222,2.20023E+12,3212,298,3276,682,1,0,20-10-2024,,,,544
