AssetId,AssetName,AssetSize,Unit,BranchId,DistrictId,CityId,SectorId,IsActive,IsDeleted,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,CompanyId
152360,PW21_1102,30,Sq. Yards,3212,298,3276,682,1,0,,1,,,544
152853,JR9_E-45,30,Sq. Yards,3206,292,3257,687,1,0,,1,,,544
153123,KN9.32_E-44,30,Sq. Yards,3197,283,3215,687,1,0,,1,,,544
154525,JG23_645,30,Sq. Yards,3194,280,3200,702,1,0,,1,,,544
155161,RW27.28.26PII_E-819,30,Sq. Yards,3205,291,3252,682,1,0,,1,,,544
156070,RW27.28.26PII_E-601,30,Sq. Yards,3205,291,3252,695,1,0,,1,,,544
157701,PW21_749,30,Sq. Yards,3212,298,3276,708,1,0,,1,,,544
157769,RW36A_E-261,30,Sq. Yards,3205,291,3252,684,1,0,,1,,,544
159178,JG23_1988,30,Sq. Yards,3194,280,3200,682,1,0,,1,,,544
159314,SD8_E-166,30,Sq. Yards,3200,286,3230,686,1,0,,1,,,544
159848,PW21_603,30,Sq. Yards,3212,298,3276,695,1,0,,1,,,544
160150,RK21.2_E-80,30,Sq. Yards,3205,291,3252,682,1,0,,1,,,544
160175,SSPIII20_E-688,30,Sq. Yards,3202,288,3238,681,1,0,,1,,,544
160718,RW27.28.26PII_E-1048,30,Sq. Yards,3205,291,3252,686,1,0,,1,,,544
162288,GO13.14_71,30,Sq. Yards,3199,285,3221,690,1,0,,1,,,544
162313,GO13.14_100,30,Sq. Yards,3199,285,3221,696,1,0,,1,,,544
147973,RK5_E-125,30,Sq. Yards,3205,291,3252,702,1,0,,1,,,544
148984,RW27.28.26PII_E-836,30,Sq. Yards,3205,291,3252,691,1,0,,1,,,544
149043,RW18.2-2399,30,Sq. Yards,3208,294,3264,682,1,0,,1,,,544
149213,GO16_E-172,30,Sq. Yards,3199,285,3221,696,1,0,,1,,,544
149254,JG23_2229,30,Sq. Yards,3194,280,3200,681,1,0,,1,,,544
150649,RW27.28.26PII_E-127,30,Sq. Yards,3205,291,3252,690,1,0,,1,,,544
154025,PW21_310,30,Sq. Yards,3212,298,3276,692,1,0,,1,,,544
154064,PW21_974,30,Sq. Yards,3212,298,3276,691,1,0,,1,,,544
154066,SD8_E-101,30,Sq. Yards,3200,286,3230,689,1,0,,1,,,544
154634,RW18.2-2395,30,Sq. Yards,3208,294,3264,681,1,0,,1,,,544
156031,RW36A_E-228,30,Sq. Yards,3205,291,3252,683,1,0,,1,,,544
156195,JG23_1768,30,Sq. Yards,3194,280,3200,694,1,0,,1,,,544
156599,CD9_E-50,30,Sq. Yards,3213,299,3279,699,1,0,,1,,,544
156699,RW18.2-2775,30,Sq. Yards,3208,294,3264,690,1,0,,1,,,544
156765,RW18.2-2269,30,Sq. Yards,3208,294,3264,710,1,0,,1,,,544
156906,JG23_1618,30,Sq. Yards,3194,280,3200,681,1,0,,1,,,544
158837,JG23_1041,30,Sq. Yards,3194,280,3200,685,1,0,,1,,,544
159671,RW18.2-3114,30,Sq. Yards,3208,294,3264,690,1,0,,1,,,544
162279,PW21_956,30,Sq. Yards,3212,298,3276,703,1,0,,1,,,544
162688,JR6_E-24,30,Sq. Yards,3206,292,3257,698,1,0,,1,,,544
147857,KN9.32_E-65,30,Sq. Yards,3197,283,3215,686,1,0,,1,,,544
